,first_page_exposure,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
624750,54,0.926,0.544047619,7.13,5.42,3,0,0,1,2,1,1,1,1,0,3,0.40518563825140147
197702,9,0.9847,0.480095238,6.7,9.89,5,0,0,0,6,1,1,0,2,0,7,0.4576530149827133
691034,110,0.9933,0.497549076,12.01,29.85,8,0,2,2,23,7,2,2,7,6,17,0.737984971997462
491808,39,0.7841,0.562244898,5.44,5.67,2,0,0,2,6,0,1,0,1,1,4,0.40393766925490465
770296,112,0.9944,0.71787184,8.48,12.5,2,1,1,2,12,1,0,2,2,3,12,0.4844656100392018
444754,22,0.9885,0.567169312,7.03,7.4,3,0,2,2,6,3,2,0,1,7,7,0.4186366636675114
132860,109,0.9403,0.481981352,9.85,7.05,2,0,0,0,8,1,0,2,2,1,6,0.47014372499627793
222727,36,0.9786,0.616316527,8.62,13.78,7,0,1,0,6,1,1,0,4,3,8,0.4752121569911364
350618,169,0.9451,0.490136054,6.77,8.34,2,1,0,0,5,2,1,1,0,2,7,0.5147600786557994
278254,15,0.9859,0.493106163,8.44,26.53,10,1,2,3,6,7,3,3,0,7,18,0.6807242832057281
435848,28,0.9425,0.483333333,13.69,1.88,1,0,0,1,3,1,0,0,2,0,2,0.35612809649534904
99069,58,-0.3875,0.486568987,10.1,16.39,3,0,1,1,5,0,0,1,2,1,9,0.6275493602124105
186673,5,0.7351,0.658333333,8.28,3.41,1,0,1,0,0,1,1,0,0,0,2,0.35782625153392816
445943,123,0.9118,0.549404762,8.05,6.99,2,1,0,3,3,2,0,0,2,0,2,0.4371739178857185
10435,1644,0.9869,0.554871795,8.88,12.69,6,0,2,3,5,3,1,2,1,3,4,0.900437017360661
450290,19,0.9348,0.398958333,6.0,3.89,2,0,0,2,3,0,0,0,2,0,3,0.3900400392207896
