,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
13570,482.6894791666418,5.0,0.9638,0.5202991452991453,7.23,5.99,1,0,0,1,2,4,0,1,0,1,1,0.5386591726474613
8581,56.54010416660458,5.0,0.9913,0.6278610783156238,6.82,14.94,9,1,1,4,11,4,2,1,4,3,1,0.6663309686682788
21788,97.54180555557832,3.0,0.9595,0.5921445221445222,12.17,7.59,5,1,0,1,5,0,0,1,5,0,0,0.460987365681547
3618,-485.5355787035078,4.0,0.8689,0.3618055555555555,9.76,5.86,4,1,1,1,4,4,0,1,0,2,0,0.5647810552089993
16038,862.5462268521078,3.0,0.891,0.55,2.12,1.6,0,0,1,0,0,0,0,0,0,0,1,0.44860254333321503
16354,261.0416550925001,3.0,0.9118,0.623905723905724,5.91,2.14,0,0,1,0,5,0,0,0,0,0,2,0.4567307758923786
5141,301.9792592590675,5.0,0.9791,0.4681230251230251,7.24,10.83,8,2,1,1,8,0,1,0,1,2,7,0.6444430966109242
23711,-2600.2238194444217,1.0,-0.8052,0.5012820512820513,9.89,12.05,6,2,0,3,4,0,1,1,6,1,0,0.42505116937118537
6350,152.3736342592165,2.0,0.6087,0.5590277777777778,6.77,4.11,7,0,0,0,1,1,0,0,0,2,1,0.4778593846796633
21038,65.81172453658655,3.0,0.7488,0.526461038961039,6.1,3.97,4,0,1,0,3,0,1,0,0,0,0,0.49110664279254695
4626,236.92898148158565,5.0,0.9798,0.6944545454545454,8.84,3.45,5,0,0,2,7,2,0,0,0,0,2,0.49221784947418706
11075,73.98634259263054,4.0,0.9846,0.5046218487394958,8.35,8.15,1,0,0,1,5,0,2,0,0,1,4,0.5126942496213098
8062,31.265879629645497,1.0,-0.7606,0.3595238095238095,121.86,17.72,15,0,0,8,3,0,4,3,4,3,0,0.37496316182058276
2315,-2635.817546296399,5.0,0.9184,0.4988095238095238,6.39,7.01,10,1,1,4,5,2,0,1,0,1,2,0.5102027670473278
8321,69.65144675923511,1.0,-0.5897,0.4792768959435626,9.8,11.69,9,1,0,2,4,0,0,0,5,2,1,0.5715065125522636
16653,420.1256597223692,5.0,0.9423,0.6833333333333335,5.8,3.36,2,0,1,1,4,0,0,1,0,0,1,0.4714847579861487
29905,-2386.6743865739554,5.0,0.9837,0.4839285714285714,9.71,6.23,6,0,2,3,5,0,1,0,3,0,0,0.4184770797863027
27980,162.4872685186565,2.0,0.0258,0.475,3.72,3.11,2,0,1,0,0,0,1,0,0,0,0,0.46562472252310005
17028,68.38239583326504,2.0,0.4767,0.3611263736263736,11.18,7.35,0,0,0,2,2,4,0,3,1,0,1,0.583132258305343
16803,287.0857060188428,5.0,0.9337,1.0,13.92,1.69,2,0,1,1,0,0,0,0,0,1,1,0.30291668682009165
7084,432.5603935183026,5.0,0.8243,0.7,6.18,3.88,3,1,1,0,2,1,0,1,0,0,1,0.47360890512496534
4446,231.022418981418,4.0,0.5067,0.6875,8.15,3.45,2,0,0,0,3,0,1,0,0,2,4,0.39343071826826975
235,-230.8678472223692,3.0,0.7646,0.4458333333333332,9.11,6.74,12,0,1,0,4,2,0,2,0,0,3,0.6506883859808716
11440,1028.6792592592535,4.0,0.9723,0.6722222222222222,7.03,3.35,1,0,0,0,6,0,0,0,1,0,0,0.46766221557343024
18753,195.89232638897371,5.0,0.7269,0.425,5.6,1.48,0,1,0,1,2,0,0,0,1,1,0,0.3874979371622399
11706,88.1528819440864,4.0,0.836,0.4257575757575758,8.93,4.32,3,1,0,0,5,0,0,3,0,3,1,0.4900294848975534
8954,26.612129629589617,1.0,0.6222,0.7134920634920635,7.25,10.22,11,0,1,4,3,2,2,0,4,0,0,0.5367134527401903
11971,336.0706134256907,4.0,0.9371,0.5455357142857143,8.2,7.2,4,1,1,4,2,1,1,0,0,1,5,0.5201832716429301
7474,348.6276273149997,4.0,0.991,0.480988455988456,4.41,13.0,9,0,1,0,10,1,1,2,1,3,3,0.7307630176547563
5852,690.9709375002421,5.0,0.4019,0.5571428571428572,7.32,2.5,1,1,0,1,2,0,1,1,0,0,0,0.41939320410053066
29506,87.98062499985099,5.0,0.8779,0.425,9.71,2.47,1,0,0,0,2,0,0,0,0,0,0,0.4372894712537202
8403,139.0009837965481,4.0,0.964,0.5898343685300207,5.78,9.05,7,0,0,6,5,2,0,0,0,1,3,0.5973733740089878
14279,944.1879282407464,4.0,0.9686,0.5687500000000001,8.76,4.73,0,0,1,0,6,0,0,0,0,1,3,0.5305049332088215
30163,383.5808217590675,1.0,0.8885,0.3756657483930211,8.12,14.48,13,0,0,0,6,1,6,1,1,0,1,0.6937120945264342
5502,-2831.909155092668,3.0,0.802,0.3055555555555556,10.4,3.79,5,0,0,0,3,0,0,0,0,2,1,0.39163192836042826
4595,653.8520601852797,5.0,0.8885,0.4666666666666666,9.07,1.9,1,0,0,0,1,1,0,0,2,0,1,0.4083493033083546
21576,26.21548611111939,4.0,0.9927,0.57027665317139,8.28,11.71,7,1,2,6,12,1,0,4,2,2,5,0.6960798217984027
1010,50.07107638893649,3.0,0.8947,0.5819444444444445,5.55,7.51,7,0,2,5,2,0,1,1,0,1,2,0.5538585277909468
30257,44.269606481306255,5.0,0.978,0.4351731601731601,8.66,13.37,7,2,1,4,11,0,0,0,2,0,1,0.7097597361895907
14968,588.649641203694,2.0,0.9187,0.5677083333333333,10.24,6.83,1,1,0,0,4,0,1,1,0,0,2,0.5200203382430233
4317,324.23087962996215,1.0,-0.3009,0.6555555555555556,7.14,4.07,3,0,1,0,1,1,0,0,0,1,0,0.48299359809289016
2881,423.1688194447197,4.0,0.9033,0.5878205128205128,6.17,4.45,5,1,1,1,6,0,0,1,0,0,1,0.544498756751486
16430,113.89785879617556,5.0,0.9571,0.4399999999999999,5.9,3.14,3,0,0,0,4,0,0,0,0,0,1,0.48871644320064733
6651,40.00637731468305,4.0,0.9857,0.6177594627594628,6.17,12.19,9,1,0,6,12,1,0,2,2,5,3,0.6281753451286742
23329,48.1572337965481,1.0,0.6124,0.65,6.12,3.17,0,2,1,8,2,2,0,0,0,1,1,0.40701469571965704
17107,-2535.0145833333954,5.0,0.9042,0.5011111111111112,8.44,2.03,1,0,0,0,1,0,0,0,0,1,0,0.3040120850556785
24853,-3279.86129629612,5.0,0.4295,0.625,8.1,1.91,2,0,0,2,1,0,0,0,0,0,1,0.2720465450556258
3271,717.9871527776122,5.0,0.9468,0.5875,12.33,2.86,1,0,1,0,0,0,0,0,0,0,4,0.43458816539175876
26395,165.9369675926864,1.0,-0.8429,0.5555555555555556,6.87,8.53,6,0,0,0,0,0,3,0,1,2,0,0.47944380214379895
