,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
188993,99.96822916669772,1.0,-0.6786,0.6,5.44,4.52,1,0,0,0,0,1,0,0,0,1,3,0.4994750409681573
193583,71.73328703688458,5.0,0.9702,0.86,6.55,3.75,1,0,0,0,2,0,0,0,3,1,5,0.28210154163800655
46334,-1718.436805555597,1.0,0.9627,0.4430026455026454,5.95,24.78,12,0,1,2,10,1,1,1,3,9,0,0.7583335710353215
38555,78.82592592621222,5.0,0.9628,0.6933333333333332,8.12,3.6,2,1,1,2,2,1,0,0,3,0,2,0.3438280620631451
19791,-2776.558101851959,5.0,0.9809,0.5854938271604939,8.21,10.81,1,0,0,0,7,3,0,0,2,1,0,0.4251100693295741
77902,227.3501273151487,5.0,0.9022,0.2977777777777778,5.38,2.85,1,0,0,0,1,0,0,0,0,0,0,0.39750933308934167
260250,334.1586574073881,1.0,0.5318,0.4251082251082251,8.77,16.56,5,1,0,0,9,0,3,0,4,6,1,0.6647961082719384
241773,424.8902314812876,1.0,-0.4767,0.6,5.63,7.29,4,0,0,0,2,0,1,0,0,1,1,0.5501675638099841
161888,742.8837615740485,5.0,0.8999,0.3789090909090909,9.29,2.48,2,0,0,0,3,0,0,0,0,0,0,0.40704090893768885
109962,430.9106250000186,4.0,0.9738,0.6615384615384615,6.58,3.89,1,0,1,1,4,0,1,3,0,1,6,0.4145184760444329
22107,-1300.1401851852424,5.0,0.968,0.346191829004329,7.4,9.48,1,4,1,0,6,1,3,0,1,1,2,0.4144490890867623
19216,-2451.9655324076302,5.0,0.9771,0.6115800865800867,6.52,4.73,3,0,0,0,6,2,1,0,0,2,0,0.28189744246898246
141800,-2051.096249999944,5.0,0.9784,0.5709573412698413,6.97,4.99,1,0,1,1,8,0,0,0,0,1,0,0.33880879629892546
37048,-1481.879988425877,1.0,-0.6962,0.5297619047619048,11.64,5.86,0,0,0,0,1,0,0,1,0,1,4,0.4428661445388091
261583,28.100960648152977,2.0,0.7932,0.5859920634920635,12.17,24.71,6,0,1,0,3,0,4,1,4,1,7,0.7348091311742307
97532,148.09432870382443,1.0,-0.9654,0.5407407407407406,8.98,14.66,3,0,0,2,1,3,0,1,0,0,0,0.7745835742890734
232444,963.5024189813994,5.0,0.9657,0.616969696969697,7.9,6.16,5,1,0,0,3,0,1,0,0,2,0,0.4280066580937801
132984,211.1879398147576,1.0,0.308,0.3285714285714286,9.74,7.2,1,0,0,0,1,1,4,1,1,1,8,0.46927924264915577
123813,607.9688541665673,1.0,-0.8891,0.6166666666666667,6.68,6.93,7,5,1,0,0,0,1,1,0,1,0,0.5519410027264876
38439,410.7141782403924,4.0,0.902,0.55,10.53,2.38,1,0,0,0,2,0,0,0,0,0,3,0.37515768682839523
253606,32.77371527813375,1.0,0.9506,0.5369565217391304,5.96,13.21,4,1,0,3,6,1,4,1,3,2,11,0.5079028816468252
166370,4.239606481511146,5.0,0.9022,0.5542207792207792,9.1,8.96,6,2,0,2,5,1,2,0,0,5,2,0.4017623774869149
21363,156.2731712963432,4.0,0.9349,0.442063492063492,7.0,3.98,0,0,0,0,5,2,1,0,1,1,6,0.3944129614732123
165489,552.8103240737692,2.0,0.128,0.2272727272727272,9.33,3.89,1,0,0,0,3,1,0,0,1,0,1,0.5331654245579135
21049,-2049.301018518396,1.0,-0.8689,0.4742063492063492,7.78,7.05,2,0,0,1,5,0,0,0,1,1,1,0.4484707119941992
7329,70.0648958333768,5.0,0.8874,0.4785353535353535,7.0,2.79,2,0,0,1,3,0,0,0,0,1,0,0.36467635030849843
62783,340.1656018518843,3.0,0.9485,0.499898333989243,9.97,16.7,5,0,0,5,8,2,4,0,2,1,10,0.5800995530988948
74971,234.44215277768672,3.0,0.9943,0.5845445334807038,9.46,23.65,7,3,1,3,16,3,4,4,4,4,9,0.7635694993997119
137013,328.547893518582,3.0,0.7425,0.6989583333333333,14.41,1.95,1,0,0,0,1,1,0,0,0,0,0,0.4150598987056844
163385,9.788622685242444,5.0,0.8225,0.5866666666666667,8.04,3.63,1,0,0,1,0,1,0,0,0,4,0,0.36692381993019557
10869,313.83259259257466,4.0,0.8622,0.5854208754208754,8.72,9.72,1,0,0,2,7,3,0,1,2,1,5,0.562253251737603
