,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
3571064,668.2813078705221,5.0,0.9887,0.6000881834215167,8.45,13.07,1,1,0,9,7,0,0,0,2,1,2,0.5979652532601454
1521394,16.94762731483206,5.0,0.9909,0.6236607142857143,8.72,6.04,1,1,1,5,7,2,0,0,1,1,3,0.39798313413720715
2745969,167.85024305526167,5.0,0.9441,0.5913095238095237,6.66,5.27,1,1,0,2,6,3,1,0,1,1,0,0.37494188441133147
1217733,79.34697916638106,5.0,0.7579,0.8,4.68,1.34,0,0,1,2,1,2,0,0,0,1,1,0.27556191655844287
1043870,56.31188657414168,5.0,0.9741,0.7333333333333334,8.28,6.04,5,1,2,7,3,1,0,0,0,0,1,0.3916846865640033
28423,189.73090277798477,2.0,-0.8807,0.6000000000000001,5.11,4.95,0,0,0,8,1,0,0,0,1,1,0,0.43635235902448277
2453640,64.96883101854473,4.0,0.9468,0.500909090909091,7.05,4.92,1,1,0,2,4,0,0,0,2,2,3,0.3581683257769016
1954198,240.30045138904825,5.0,0.9885,0.6327731092436976,7.7,10.12,4,0,2,7,12,2,0,1,2,2,0,0.5227057304504161
4402358,700.0277430554852,5.0,-0.2263,0.4197222222222222,8.02,2.67,0,0,0,4,2,0,0,0,0,1,0,0.3616331466142707
3756601,90.81545138871296,3.0,0.93,0.5299319727891156,5.08,8.96,4,0,0,5,4,4,0,1,0,1,3,0.5926386886847106
1114026,-1117.0121875000186,5.0,0.9601,0.6166666666666667,5.91,2.25,0,0,0,1,3,0,0,0,1,1,1,0.24615313133640887
4604309,88.41071759257466,3.0,0.8442,0.5694444444444444,3.6,1.69,1,1,0,1,1,0,0,0,0,0,0,0.34523828260542067
1645668,48.7907060184516,4.0,0.9801,0.4011904761904761,7.32,7.93,0,1,2,5,8,2,0,0,0,3,1,0.5615930307599661
2299808,222.96203703712672,5.0,0.9801,0.5588515406162465,8.09,9.52,1,2,1,8,4,2,0,0,0,3,0,0.5356341552430566
663553,43.62983796279877,5.0,0.9251,0.5800000000000001,11.4,1.31,1,0,0,1,0,0,0,0,0,0,0,0.2636040078024885
1429173,181.9224537033588,1.0,0.5139,0.4587301587301587,7.75,31.2,9,1,0,8,6,1,3,2,7,7,4,0.8979039318303147
4617581,15.30013888888061,5.0,0.8591,0.9833333333333334,8.0,1.53,1,0,0,2,1,0,0,0,1,0,0,0.20257603294430016
3599293,9.705682870466262,4.0,0.7574,0.6125,3.08,1.51,0,0,0,0,1,0,0,1,0,0,0,0.32431522106378546
3846807,147.08581018541008,2.0,0.7964,0.625,6.56,1.53,0,0,0,3,2,0,0,0,0,0,0,0.3476981715370142
1340531,157.4549189810641,5.0,0.9873,0.53,6.09,5.83,0,0,0,6,7,0,0,1,0,1,0,0.43164268756035723
1723907,81.0012384261936,1.0,0.2928,0.41875,7.21,8.49,2,1,0,0,4,0,2,0,2,0,2,0.5301684303093096
4052787,303.28344907425344,3.0,0.8519,0.4057142857142857,5.55,3.35,1,0,0,7,3,0,0,0,0,0,0,0.4287676859447414
4197598,60.341898147948086,2.0,-0.5106,0.2875541125541125,5.19,3.48,1,0,0,2,1,1,1,0,1,1,2,0.4311322189922024
3014103,635.0779745369218,5.0,0.9959,0.5059370648844334,9.49,26.21,5,0,1,13,8,3,1,2,1,1,3,0.9082060870820852
2223316,301.0340393520892,2.0,0.9597,0.6517989417989417,6.01,17.89,5,0,0,5,8,3,3,1,1,2,4,0.7457083956216398
1144773,308.386967592407,4.0,0.9643,0.51875,8.85,6.67,3,1,0,2,4,0,0,1,2,0,3,0.42482463699010176
3486618,380.18370370334014,3.0,0.9734,0.432010582010582,6.61,20.85,6,0,1,20,5,0,0,0,0,0,2,0.8649295570325681
2823419,45.175277777947485,5.0,0.872,0.825,5.7,1.1,1,0,0,1,1,0,0,0,1,1,0,0.21713062655800375
285217,108.5700694443658,5.0,0.964,0.6624999999999999,7.76,7.4,2,2,0,3,5,1,1,0,2,0,0,0.3820625449288591
3580885,54.78222222207114,5.0,0.9231,0.64,5.33,2.13,0,0,1,2,0,0,0,0,0,0,0,0.31459721718807976
1656208,197.57637731498107,4.0,0.9947,0.7375,7.53,11.05,6,1,0,7,7,0,2,0,1,1,1,0.4618439795826842
4257982,89.62534722220153,3.0,0.9013,0.5085718981872828,10.32,17.11,4,1,0,16,11,0,1,1,0,1,2,0.7478481597494075
646684,185.7823842591606,2.0,0.1531,0.53,9.24,3.42,1,0,0,0,2,0,0,0,3,0,1,0.3525534414994154
2525289,52.147326388861984,3.0,0.6249,0.3833333333333333,4.6,1.66,1,2,0,1,1,0,0,0,1,0,0,0.3560198809853346
1573179,298.816157407593,3.0,0.9468,0.5555555555555556,3.37,3.6,5,0,0,4,3,0,0,0,1,0,0,0.3738609539121082
2157766,70.590706018731,3.0,0.1511,0.5076190476190476,4.7,1.34,0,0,0,0,1,0,0,0,0,0,0,0.34971601341805825
1454042,499.0050115743652,5.0,0.9294,0.7011363636363637,4.2,1.85,0,1,1,3,1,0,0,0,0,0,0,0.3128709169788099
3177207,650.8097800929099,1.0,0.1531,0.2888888888888889,3.39,4.92,1,0,2,1,1,0,3,0,0,0,2,0.5368433523974769
4040126,10.074363425839692,3.0,0.3993,0.5335714285714286,8.55,10.15,2,2,0,7,8,1,0,0,0,0,2,0.5934607915088037
1253707,68.99725694442168,1.0,0.4019,0.4817777777777777,7.58,3.57,2,0,0,1,1,2,0,0,1,4,0,0.4065915615236496
1059409,482.0361689818092,4.0,0.8591,0.675,8.0,1.45,0,0,0,1,3,1,0,0,1,0,0,0.2930661185197472
1722062,1948.5188541668467,5.0,0.9738,0.6128501400560225,8.02,10.3,3,2,2,3,5,2,1,1,1,1,1,0.6039007942561796
4051517,102.31814814824612,5.0,0.9764,0.5545454545454546,6.83,4.44,0,0,0,4,5,2,0,0,1,0,0,0.38118189215450066
1587219,502.9475694443099,1.0,0.0,0.0,13.2,1.69,1,0,0,1,0,0,0,0,0,0,0,0.4853290765878275
517074,94.47430555569008,3.0,0.9725,0.4419606114050559,7.26,12.59,4,0,0,4,5,0,0,0,1,1,1,0.6506473377953921
2422034,132.31390046328306,4.0,0.9524,0.7548571428571428,7.1,4.83,2,1,0,4,4,1,0,1,1,0,0,0.3596648540835852
2804726,26.284259259235117,1.0,0.7096,0.5364583333333333,8.48,13.57,5,0,0,9,5,1,1,0,3,2,1,0.6332233702399295
3475449,38.96265046298504,5.0,0.9828,0.5977272727272727,7.33,5.54,1,0,1,1,5,0,1,0,0,0,2,0.3863401070520419
1718894,44.75834490731359,3.0,0.9363,0.7785714285714286,4.48,5.26,0,0,0,5,4,1,0,0,1,0,0,0.40306679601516343
3895756,68.77803240763023,5.0,0.7493,0.6335497835497835,5.98,5.04,2,0,0,5,5,2,0,1,1,1,0,0.3724599587169513
1787214,15.99282407388091,5.0,0.9716,0.6146103896103897,4.57,8.33,0,1,0,14,4,0,0,0,1,1,0,0.46214154347154657
1478613,62.39681712957099,5.0,0.872,0.3285714285714285,4.95,2.54,0,0,0,3,1,0,0,0,2,2,0,0.3204898862839818
2796104,103.69947916688398,5.0,0.969,0.5703703703703703,7.27,4.55,1,1,0,2,7,0,0,0,1,0,0,0.3542794856168158
2254889,-2640.619039352052,4.0,0.7121,0.7006172839506174,6.31,3.58,1,0,0,5,4,1,0,0,0,0,1,0.2623142535683064
3607093,15.586215277668089,2.0,0.987,0.5810657596371883,7.21,10.55,3,5,0,2,9,1,1,0,0,2,2,0.574686766135987
933930,169.2807754627429,5.0,0.9907,0.6285714285714287,8.6,18.1,1,0,0,11,10,4,0,0,1,1,5,0.7636038516442956
3697790,31.3591319443658,5.0,0.8481,0.5,5.91,1.34,0,0,0,1,2,0,0,0,1,0,0,0.286398973581114
3936514,34.72615740727633,5.0,0.8779,0.3375,5.12,2.41,0,0,0,3,2,2,0,0,0,0,0,0.3867642343251716
2183917,55.51949074072763,5.0,0.9392,0.7477777777777778,12.89,1.98,0,0,1,3,2,0,0,0,0,0,0,0.26398627743017966
680765,125.08234953694046,1.0,-0.6124,0.8300000000000001,9.23,3.0,3,0,0,4,1,0,0,0,0,1,0,0.33601361372572114
1466039,71.04510416649282,5.0,0.8644,0.6126750700280112,6.8,8.49,1,0,1,3,3,0,0,0,3,0,2,0.44214341888531117
2688853,46.94137731473893,4.0,0.9927,0.7356275303643725,18.78,11.36,2,0,0,16,4,1,0,0,2,0,0,0.48515082187687236
3415240,643.250092592556,3.0,0.9349,0.4580866580866581,9.26,23.4,7,2,0,4,3,2,5,1,3,2,4,0.8040317787333363
4172674,5.789988425560296,5.0,0.8176,0.7375,8.9,2.0,0,1,0,1,2,0,0,0,0,3,0,0.24301808538545666
325169,174.83460648125038,5.0,0.91,0.5952020202020202,8.81,4.48,0,0,1,2,2,1,1,0,1,1,1,0.34217346901998874
