first_page_exposure,polarity,subjectivity,polarity_sign,polarity_magnitude,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob,is_helpful,actual_helpfulness
54,0.926,0.544047619,1,0.926,7.13,5.42,1,0,0,1,1,1,1,1,1,0,1,0.4269229452127582,0,0
9,0.9847,0.480095238,1,0.9847,6.7,9.89,1,0,0,0,1,1,1,0,1,0,1,0.45034513916723695,1,1
110,0.9933,0.497549076,1,0.9933,12.01,29.85,1,0,1,1,1,1,1,1,1,1,1,0.7084315222076154,1,2
39,0.7841,0.562244898,1,0.7841,5.44,5.67,1,0,0,1,1,0,1,0,1,1,1,0.3975092638084848,0,0
112,0.9944,0.71787184,1,0.9944,8.48,12.5,1,1,1,1,1,1,0,1,1,1,1,0.5180838455792663,1,8
22,0.9885,0.567169312,1,0.9885,7.03,7.4,1,0,1,1,1,1,1,0,1,1,1,0.42915196611051637,0,0
109,0.9403,0.481981352,1,0.9403,9.85,7.05,1,0,0,0,1,1,0,1,1,1,1,0.48724415471447047,1,1
36,0.9786,0.616316527,1,0.9786,8.62,13.78,1,0,1,0,1,1,1,0,1,1,1,0.5076518248553648,1,1
169,0.9451,0.490136054,1,0.9451,6.77,8.34,1,1,0,0,1,1,1,1,0,1,1,0.5272386309574528,1,3
15,0.9859,0.493106163,1,0.9859,8.44,26.53,1,1,1,1,1,1,1,1,0,1,1,0.6424701176863553,0,0
28,0.9425,0.483333333,1,0.9425,13.69,1.88,1,0,0,1,1,1,0,0,1,0,1,0.36642707468749475,1,3
58,-0.3875,0.486568987,0,0.3875,10.1,16.39,1,0,1,1,1,0,0,1,1,1,1,0.6147348583364549,1,1
5,0.7351,0.658333333,1,0.7351,8.28,3.41,1,0,1,0,0,1,1,0,0,0,1,0.3465127428959187,0,0
123,0.9118,0.549404762,1,0.9118,8.05,6.99,1,1,0,1,1,1,0,0,1,0,1,0.44872289335525045,1,1
1644,0.9869,0.554871795,1,0.9869,8.88,12.69,1,0,1,1,1,1,1,1,1,1,1,0.9187088476649259,1,15
19,0.9348,0.398958333,1,0.9348,6.0,3.89,1,0,0,1,1,0,0,0,1,0,1,0.3512632114228986,0,0
34,0.9403,0.590873016,1,0.9403,9.34,12.52,1,0,0,1,1,1,1,1,1,1,1,0.5105576389857219,1,6
7,0.9972,0.578639847,1,0.9972,8.34,22.77,1,0,1,1,1,1,1,1,1,1,1,0.5989411841112767,0,0
39,0.9704,0.481691468,1,0.9704,9.4,17.07,1,0,1,1,1,1,0,0,1,1,1,0.5344366780721717,1,1
174,0.9509,0.628571429,1,0.9509,8.83,3.25,1,0,1,1,1,1,0,1,0,1,1,0.43895749313415877,0,0
133,0.9442,0.574833333,1,0.9442,4.96,4.05,1,1,0,1,1,1,0,1,0,1,1,0.44280103081191463,0,0
18,0.9884,0.539393939,1,0.9884,12.23,9.93,1,0,0,1,1,1,0,1,1,0,1,0.4529501649870301,0,0
12,0.9771,0.514227273,1,0.9771,9.33,9.7,1,1,0,1,1,1,0,1,1,1,1,0.47208826412547317,1,4
3,0.9715,0.399904507,1,0.9715,8.53,18.14,1,0,1,0,1,1,0,1,1,1,1,0.5614405296026365,1,2
21,0.6908,0.640151515,1,0.6908,10.24,8.02,1,0,0,1,1,0,1,1,1,0,1,0.4152793813015163,1,7
12,0.9892,0.621759259,1,0.9892,7.24,11.14,1,0,1,0,1,1,1,1,0,1,1,0.4771920538946061,0,0
24,0.926,0.608333333,1,0.926,27.24,4.77,1,0,0,0,1,1,0,1,0,1,1,0.4336667160142073,0,0
98,0.5744,0.452833333,1,0.5744,6.73,9.68,1,0,1,1,1,1,0,1,0,1,1,0.5016736976853005,1,2
1052,-0.3182,0.773333333,0,0.3182,6.19,6.4,1,0,1,0,1,1,1,0,1,1,1,0.8262675843058032,1,5
54,0.4471,0.601071429,1,0.4471,6.65,7.55,1,1,1,1,1,0,1,1,0,0,1,0.42329517100807323,1,1
55,0.9788,0.7,1,0.9788,5.91,4.3,0,0,1,1,1,1,0,0,0,1,1,0.3446162006464813,1,1
129,0.9755,0.498928571,1,0.9755,11.6,12.03,1,1,1,1,1,1,0,1,1,1,1,0.5382312215443755,1,1
9,0.9933,0.371774892,1,0.9933,8.7,41.47,1,1,0,0,1,1,1,1,1,1,1,0.7893668799822735,1,1
44,0.9773,0.546296296,1,0.9773,5.8,8.7,1,0,1,1,1,1,1,1,1,1,1,0.46743134433202316,1,1
16,0.9965,0.620591966,1,0.9965,13.03,27.6,1,0,1,1,1,1,1,0,1,1,1,0.6361378650223067,1,1
6,0.9501,0.615,1,0.9501,8.44,2.34,0,0,0,1,1,1,0,0,1,0,1,0.3137273460989841,0,0
28,0.8126,0.571428571,1,0.8126,7.58,4.07,1,0,0,0,1,1,1,1,0,0,0,0.3472044992966666,1,1
48,0.9744,0.482231405,1,0.9744,10.76,9.65,1,1,1,1,1,1,0,0,1,1,1,0.467336745565777,1,3
8,-0.8191,0.502398268,0,0.8191,8.44,34.02,1,1,1,1,1,1,1,1,0,1,1,0.7975409600375934,1,2
392,0.8779,0.505,1,0.8779,8.41,3.04,1,0,0,1,1,0,0,0,0,1,1,0.48458962971097475,1,2
28,0.9968,0.44495671,1,0.9968,10.43,29.41,1,0,1,1,1,1,0,1,1,1,1,0.6710551044600995,1,5
19,0.9694,0.522489648,1,0.9694,10.12,12.4,1,1,1,0,1,0,0,1,0,0,1,0.44764712107296145,0,0
51,0.9485,0.571428571,1,0.9485,9.25,3.7,1,0,0,0,1,0,0,0,1,1,1,0.37748891557854625,0,0
26,0.857,0.581984127,1,0.857,9.6,8.01,1,0,0,1,1,1,1,0,1,1,1,0.4483179688779708,0,0
7,-0.8794,0.37447619,0,0.8794,7.6,25.05,1,1,1,1,1,1,1,1,1,1,1,0.7448398071598482,0,0
26,0.9961,0.516409774,1,0.9961,8.25,18.24,1,0,0,1,1,1,0,0,1,1,1,0.542289544354097,1,4
8,0.8779,0.585714286,1,0.8779,7.3,3.31,1,0,0,0,1,0,1,1,0,1,1,0.3759118331291749,1,1
335,-0.6283,0.709722222,0,0.6283,6.9,7.68,1,0,0,0,1,1,1,0,0,1,1,0.650020606000832,0,0
11,0.9527,0.558333333,1,0.9527,8.6,6.51,0,0,0,0,1,1,0,0,1,1,1,0.3832321708487182,0,0
4,0.9808,0.418790174,1,0.9808,11.86,26.53,1,1,0,0,1,1,1,1,1,1,1,0.6662316609012222,1,2
17,0.9744,0.573319129,1,0.9744,10.42,20.02,1,0,1,1,1,1,1,0,1,1,1,0.5619163736696707,1,1
5,0.9958,0.560555556,1,0.9958,12.37,26.25,1,1,1,1,1,1,1,1,0,0,1,0.6177523435242159,1,1
50,0.9638,0.468580506,1,0.9638,9.3,18.42,1,1,1,1,1,1,0,0,1,1,1,0.5592370203954456,0,0
103,0.765,0.411978022,1,0.765,13.66,6.77,1,0,0,1,1,1,0,1,0,1,1,0.480761169604251,1,1
36,0.765,0.587342172,1,0.765,4.94,12.91,1,0,0,1,1,1,0,1,1,1,1,0.50732614517996,1,1
